Marital status,Application mode,Application order,Gender,Age at enrollment,Course,Course Name,Daytime/evening attendance,Previous qualification,Previous qualification (grade out of 200),Nationality Name,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Scholarship holder,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Student_Success
single,1st phase - general contingent,2,female,19.0,9773,Journalism and Communication,daytime,Secondary education,154.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,133.4,yes,no,no,yes,yes,no,0,6,7,5,11.4,0,0,6,8,5,12.8,0,12.7,3.7,-1.7,Graduate
single,2nd phase - general contingent,1,female,26.0,9991,Management (evening attendance),evening,Secondary education,120.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Higher Education - Bachelor's Degree,Unskilled Workers,Intermediate Level Technicians and Professions,116.9,yes,no,yes,no,no,no,0,5,5,0,0.0,0,0,5,6,0,0.0,0,10.8,1.4,1.74,Dropout
single,1st phase - general contingent,1,male,18.0,9130,Equinculture,daytime,Secondary education,154.0,Portuguese,Higher Education - Bachelor's Degree,Higher Education - Bachelor's Degree,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,137.2,yes,no,yes,yes,no,no,0,6,11,5,13.625,0,0,6,9,4,11.75,0,16.2,0.3,-0.92,Dropout
single,1st phase - general contingent,1,female,18.0,9500,Nursing,daytime,Secondary education,156.0,Portuguese,Higher Education (Doctorate),Higher Education - Master's,Specialists in Intellectual and Scientific Activities,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",140.8,no,no,no,yes,no,no,0,8,8,7,15.7,0,0,8,8,7,15.7,0,12.7,3.7,-1.7,Graduate
single,1st phase - general contingent,1,male,18.0,9500,Nursing,daytime,Secondary education,157.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,143.0,no,no,no,yes,no,no,0,8,8,7,13.4,0,0,8,8,7,13.4,0,12.7,3.7,-1.7,Graduate
single,1st phase - general contingent,1,male,19.0,9773,Journalism and Communication,daytime,Secondary education,127.0,Portuguese,Basic Education (9th/10th/11th Year) or Equivalent,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,126.3,no,no,no,yes,no,no,0,6,8,6,12.83333333,0,0,6,8,6,13.33333333,0,15.5,2.8,-4.06,Graduate
single,Technological specialization diploma holders,1,female,22.0,9085,Veterinary Nursing,daytime,Technological specialization course,150.0,Portuguese,Higher Education - Bachelor's Degree,Higher Education - Bachelor's Degree,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,150.0,yes,no,no,yes,no,no,2,6,7,6,14.42857143,0,1,6,9,5,13.0,0,13.9,-0.3,0.79,Graduate
single,Technological specialization diploma holders,1,male,21.0,9130,Equinculture,daytime,Technological specialization course,150.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Intermediate Level Technicians and Professions,150.0,yes,no,no,yes,no,no,1,6,8,6,12.5,0,0,6,11,3,13.33333333,0,13.9,-0.3,0.79,Dropout
single,Over 23 years old,1,male,26.0,9254,Tourism,daytime,Secondary education,160.0,Portuguese,Basic Education (9th/10th/11th Year) or Equivalent,Basic education 1st cycle (4th/5th year) or equiv.,"Skilled Workers in Industry, Construction and Craftsmen",Armed Forces Professions,100.0,no,no,no,yes,no,no,0,6,7,6,12.0,0,0,6,8,5,10.8,0,12.7,3.7,-1.7,Enrolled
single,Technological specialization diploma holders,1,male,21.0,9003,Agronomy,daytime,Technological specialization course,140.0,Portuguese,Higher Education - Bachelor's Degree,Secondary Education - 12th Year of Schooling or Equivalent,Administrative staff,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",140.0,no,no,no,yes,no,no,0,6,12,5,12.14285714,0,0,6,11,5,11.66666667,0,13.9,-0.3,0.79,Graduate
divorced,Over 23 years old,1,female,33.0,9853,Basic Education,daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,108.0,no,no,yes,no,no,no,0,7,7,7,12.85714286,0,0,7,8,6,12.66666667,0,8.9,1.4,3.51,Enrolled
single,1st phase - general contingent,2,female,19.0,9254,Tourism,daytime,Secondary education,120.0,Portuguese,Basic Education (9th/10th/11th Year) or Equivalent,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,116.5,yes,no,no,yes,yes,no,0,6,9,5,13.2,0,0,6,8,5,11.0,0,12.4,0.5,1.79,Graduate
single,2nd phase - general contingent,1,male,20.0,9254,Tourism,daytime,Secondary education,133.0,Portuguese,Basic Education (9th/10th/11th Year) or Equivalent,Secondary Education - 12th Year of Schooling or Equivalent,Unskilled Workers,Unskilled Workers,137.2,no,no,no,yes,yes,no,0,6,6,0,0.0,0,0,6,12,0,0.0,0,10.8,1.4,1.74,Dropout
single,1st phase - general contingent,1,female,18.0,9773,Journalism and Communication,daytime,Secondary education,139.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,145.0,yes,no,no,yes,yes,no,0,6,6,6,13.33333333,0,0,6,6,6,13.33333333,0,9.4,-0.8,-3.12,Graduate
single,1st phase - general contingent,2,female,21.0,9500,Nursing,daytime,Secondary education,97.0,Portuguese,Secondary Education (12th Year of Schooling or Equivalent),Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Specialists in Intellectual and Scientific Activities,"Skilled Workers in Industry, Construction and Craftsmen",98.1,yes,no,no,yes,no,no,0,7,7,7,12.83571429,0,0,8,8,8,14.23125,0,11.1,0.6,2.02,Graduate
single,1st phase - general contingent,6,female,19.0,9500,Nursing,daytime,Secondary education,133.0,Portuguese,Higher Education - Bachelor's Degree,Higher Education - Bachelor's Degree,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers","Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",126.2,yes,no,no,yes,no,no,0,7,9,7,13.76111111,0,0,8,11,7,12.82375,0,15.5,2.8,-4.06,Graduate
single,Technological specialization diploma holders,1,male,21.0,9003,Agronomy,daytime,Technological specialization course,140.0,Portuguese,Secondary Education (12th Year of Schooling or Equivalent),Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",140.0,no,no,no,yes,no,no,0,6,13,4,11.75,0,0,6,15,4,10.5,0,15.5,2.8,-4.06,Enrolled
single,1st phase - general contingent,2,female,18.0,9500,Nursing,daytime,Secondary education,135.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Secondary Education - 12th Year of Schooling or Equivalent,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",132.8,yes,no,no,yes,yes,no,0,8,12,7,11.72142857,0,0,8,12,7,11.72142857,0,12.7,3.7,-1.7,Graduate
married,Over 23 years old,1,male,34.0,9991,Management (evening attendance),evening,Secondary education,130.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Intermediate Level Technicians and Professions,145.6,no,no,no,yes,no,no,0,5,10,4,11.75,0,0,5,10,4,10.83333333,0,13.9,-0.3,0.79,Enrolled
single,1st phase - general contingent,2,female,19.0,9500,Nursing,daytime,Secondary education,141.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",126.3,yes,no,no,yes,no,no,0,7,10,7,13.805,0,0,8,8,8,14.2725,0,15.5,2.8,-4.06,Graduate
single,1st phase - general contingent,2,female,20.0,9773,Journalism and Communication,daytime,Secondary education,130.0,Portuguese,Secondary Education (12th Year of Schooling or Equivalent),Unknown,Unskilled Workers,Unskilled Workers,124.8,yes,no,no,yes,yes,no,0,6,7,5,12.8,0,0,6,6,6,12.33333333,0,12.4,0.5,1.79,Graduate
single,2nd phase - general contingent,1,male,18.0,171,Animation and Multimedia Design,daytime,Secondary education,144.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",129.3,yes,no,no,yes,yes,no,0,0,0,0,0.0,0,0,0,0,0,0.0,0,7.6,2.6,0.32,Enrolled
single,1st phase - general contingent,1,female,18.0,9500,Nursing,daytime,Secondary education,145.0,Portuguese,Secondary Education (12th Year of Schooling or Equivalent),Secondary Education - 12th Year of Schooling or Equivalent,Administrative staff,Armed Forces Professions,145.0,no,no,no,yes,no,no,0,7,7,6,13.86166667,0,0,8,16,0,0.0,1,12.4,0.5,1.79,Dropout
single,2nd phase - general contingent,1,female,19.0,9147,Management,daytime,Secondary education,162.0,Portuguese,Secondary Education (12th Year of Schooling or Equivalent),Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Administrative staff,"Personal Services, Security and Safety Workers and Sellers",138.6,yes,no,no,yes,no,no,0,5,10,1,11.0,0,0,5,13,0,0.0,0,12.7,3.7,-1.7,Enrolled
single,3rd phase - general contingent,1,female,19.0,8014,Social Service (evening attendance),evening,Secondary education,138.0,Portuguese,Basic Education (9th/10th/11th Year) or Equivalent,Secondary Education - 12th Year of Schooling or Equivalent,Unskilled Workers,"Personal Services, Security and Safety Workers and Sellers",134.5,yes,no,no,yes,no,no,0,6,6,6,12.66666667,0,0,6,8,6,14.375,0,12.4,0.5,1.79,Graduate
single,1st phase - general contingent,1,female,18.0,171,Animation and Multimedia Design,daytime,Secondary education,141.0,Portuguese,Higher Education - Bachelor's Degree,Secondary Education - 12th Year of Schooling or Equivalent,Administrative staff,Administrative staff,142.8,yes,no,no,yes,no,no,0,0,0,0,0.0,0,0,0,0,0,0.0,0,12.4,0.5,1.79,Graduate
single,Over 23 years old,1,male,39.0,9991,Management (evening attendance),evening,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Portuguese,Basic Education (9th/10th/11th Year) or Equivalent,Basic education 1st cycle (4th/5th year) or equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Personal Services, Security and Safety Workers and Sellers",155.5,yes,no,yes,no,no,no,0,5,6,5,10.6,0,0,5,7,5,14.66666667,0,10.8,1.4,1.74,Dropout
single,Transfer,1,female,21.0,9853,Basic Education,daytime,Secondary education,120.0,Portuguese,Secondary Education (12th Year of Schooling or Equivalent),Basic education 1st cycle (4th/5th year) or equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",113.9,yes,no,no,yes,no,no,0,6,8,4,12.25,0,0,6,13,3,10.33333333,0,12.7,3.7,-1.7,Dropout
single,1st phase - general contingent,6,male,20.0,9500,Nursing,daytime,Secondary education,122.0,Portuguese,Basic Education (9th/10th/11th Year) or Equivalent,Basic education 1st cycle (4th/5th year) or equiv.,Intermediate Level Technicians and Professions,"Personal Services, Security and Safety Workers and Sellers",116.6,yes,no,yes,yes,yes,no,0,7,7,7,13.31428571,0,0,8,8,8,12.575,0,12.4,0.5,1.79,Graduate
single,2nd phase - general contingent,1,female,20.0,9238,Social Service,daytime,Secondary education,123.0,Portuguese,Secondary Education (12th Year of Schooling or Equivalent),Secondary Education - 12th Year of Schooling or Equivalent,Unskilled Workers,Unskilled Workers,113.2,no,no,no,yes,yes,no,0,6,11,4,10.75,0,0,6,13,5,11.5,0,15.5,2.8,-4.06,Enrolled
single,2nd phase - general contingent,1,male,21.0,171,Animation and Multimedia Design,daytime,Secondary education,132.0,Portuguese,Secondary Education (12th Year of Schooling or Equivalent),Basic education 1st cycle (4th/5th year) or equiv.,Administrative staff,Unskilled Workers,127.1,no,no,no,no,no,no,0,0,0,0,0.0,0,0,0,0,0,0.0,0,7.6,2.6,0.32,Dropout
divorced,Holders of other higher courses,1,female,42.0,9500,Nursing,daytime,Higher education - degree,130.0,Portuguese,Basic Education (9th/10th/11th Year) or Equivalent,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",130.0,no,no,no,no,no,no,2,7,10,5,12.62,0,3,7,11,3,14.16666667,0,12.4,0.5,1.79,Dropout
single,1st phase - general contingent,1,male,19.0,9500,Nursing,daytime,Secondary education,131.0,Portuguese,Secondary Education (12th Year of Schooling or Equivalent),Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,127.0,no,no,no,yes,yes,no,0,8,8,7,12.51428571,0,0,8,8,7,12.51428571,0,12.7,3.7,-1.7,Graduate
single,1st phase - general contingent,1,female,18.0,9773,Journalism and Communication,daytime,Secondary education,132.0,Portuguese,Higher Education - Bachelor's Degree,Secondary Education - 12th Year of Schooling or Equivalent,Unskilled Workers,Unskilled Workers,126.4,yes,yes,no,yes,yes,no,0,6,9,6,11.16666667,0,0,6,11,5,12.4,0,10.8,1.4,1.74,Graduate
single,1st phase - general contingent,4,female,21.0,9500,Nursing,daytime,Secondary education,123.0,Portuguese,Secondary Education (12th Year of Schooling or Equivalent),Secondary Education - 12th Year of Schooling or Equivalent,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,113.6,yes,no,no,yes,no,no,0,7,8,7,14.69625,0,0,8,9,8,14.62222222,0,12.4,0.5,1.79,Graduate
single,Over 23 years old,1,female,31.0,9991,Management (evening attendance),evening,Secondary education,120.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,111.1,no,no,no,yes,no,no,0,5,8,4,11.0,0,0,5,6,5,11.2,0,7.6,2.6,0.32,Graduate
single,International student (bachelor),1,female,19.0,9556,Oral Hygiene,daytime,Secondary education,137.0,Santomean,Basic Education (9th/10th/11th Year) or Equivalent,Secondary Education - 12th Year of Schooling or Equivalent,Unskilled Workers,Administrative staff,137.0,no,no,yes,yes,no,yes,0,7,11,0,0.0,4,0,7,11,2,11.66666667,0,8.9,1.4,3.51,Enrolled
single,Over 23 years old,1,male,27.0,9991,Management (evening attendance),evening,Secondary education,150.0,Portuguese,Secondary Education (12th Year of Schooling or Equivalent),Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,Installation and Machine Operators and Assembly Workers,123.0,no,no,no,yes,no,no,0,5,8,4,11.5,0,0,5,9,3,10.33333333,0,12.7,3.7,-1.7,Dropout
single,1st phase - general contingent,1,female,19.0,9130,Equinculture,daytime,Secondary education,110.0,Portuguese,Higher Education - Bachelor's Degree,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Specialists in Intellectual and Scientific Activities,Unskilled Workers,105.5,yes,no,yes,no,no,no,0,6,0,0,0.0,0,0,6,0,0,0.0,0,11.1,0.6,2.02,Dropout
single,1st phase - general contingent,1,female,20.0,9853,Basic Education,daytime,Secondary education,132.0,Portuguese,Secondary Education (12th Year of Schooling or Equivalent),Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,122.9,yes,no,no,yes,no,no,0,7,7,7,13.85714286,0,0,7,7,7,13.28571429,0,11.1,0.6,2.02,Graduate
single,Transfer,1,female,21.0,9500,Nursing,daytime,Secondary education,123.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,123.0,yes,no,no,yes,yes,no,0,8,8,8,13.105,0,0,8,8,8,13.105,0,9.4,-0.8,-3.12,Graduate
single,1st phase - general contingent,3,female,18.0,9147,Management,daytime,Secondary education,133.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Armed Forces Professions,125.0,yes,no,no,yes,no,no,0,5,6,5,12.8,1,0,5,6,5,12.6,0,9.4,-0.8,-3.12,Graduate
single,1st phase - general contingent,3,female,21.0,9070,Communication Design,daytime,Secondary education,129.0,Portuguese,Higher Education (Doctorate),Higher Education - Bachelor's Degree,"Personal Services, Security and Safety Workers and Sellers","Skilled Workers in Industry, Construction and Craftsmen",124.8,yes,no,no,yes,no,no,0,6,6,6,14.5,0,0,6,7,5,12.0,0,12.4,0.5,1.79,Graduate
single,2nd phase - general contingent,2,female,18.0,9773,Journalism and Communication,daytime,Secondary education,123.0,Portuguese,Secondary Education (12th Year of Schooling or Equivalent),Secondary Education - 12th Year of Schooling or Equivalent,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,120.9,yes,no,no,yes,no,no,0,6,0,0,0.0,0,0,6,0,0,0.0,0,13.9,-0.3,0.79,Dropout
single,Short cycle diploma holders,1,female,23.0,9238,Social Service,daytime,Professional higher technical course,130.0,Portuguese,Secondary Education (12th Year of Schooling or Equivalent),Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",128.3,no,no,yes,no,no,no,5,9,12,7,13.57142857,0,4,9,14,4,13.25,0,8.9,1.4,3.51,Dropout
single,Over 23 years old,1,female,32.0,171,Animation and Multimedia Design,daytime,Secondary education,147.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Unskilled workers in extractive industry, construction, manufacturing and transport",133.3,no,no,no,no,no,no,0,0,0,0,0.0,0,0,0,0,0,0.0,0,16.2,0.3,-0.92,Dropout
single,1st phase - general contingent,1,female,23.0,8014,Social Service (evening attendance),evening,Secondary education,100.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",Armed Forces Professions,112.8,no,no,no,yes,yes,no,0,6,6,6,14.16666667,0,0,6,6,6,12.5,0,12.7,3.7,-1.7,Graduate
single,2nd phase - general contingent,1,male,19.0,9670,Advertising and Marketing Management,daytime,Secondary education,120.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Installation and Machine Operators and Assembly Workers,113.4,yes,no,no,yes,yes,no,0,6,6,6,13.33333333,0,0,6,7,6,13.28571429,0,8.9,1.4,3.51,Graduate
divorced,Over 23 years old,2,male,34.0,9670,Advertising and Marketing Management,daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Portuguese,Basic Education (9th/10th/11th Year) or Equivalent,Secondary Education - 12th Year of Schooling or Equivalent,Administrative staff,Other Situation,103.0,no,no,no,no,no,no,0,6,6,0,0.0,0,0,6,9,0,0.0,0,10.8,1.4,1.74,Dropout
single,1st phase - general contingent,6,male,21.0,9254,Tourism,daytime,Secondary education,102.0,Portuguese,Higher Education - Bachelor's Degree,Secondary Education - 12th Year of Schooling or Equivalent,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,101.7,yes,no,no,yes,yes,no,0,6,6,6,13.5,0,0,6,6,6,12.33333333,0,12.4,0.5,1.79,Graduate
single,2nd phase - general contingent,3,female,18.0,9147,Management,daytime,Secondary education,125.0,Portuguese,Higher Education - Bachelor's Degree,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Specialists in Intellectual and Scientific Activities,Armed Forces Professions,118.7,yes,no,no,yes,no,no,0,5,16,4,10.66666667,0,0,5,11,2,12.0,0,13.9,-0.3,0.79,Enrolled
single,1st phase - general contingent,2,female,18.0,9500,Nursing,daytime,Secondary education,135.0,Portuguese,Basic Education (9th/10th/11th Year) or Equivalent,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Armed Forces Professions,122.9,yes,no,no,yes,no,no,0,7,10,7,13.128,0,0,8,13,6,13.19333333,0,15.5,2.8,-4.06,Graduate
single,1st phase - general contingent,2,male,20.0,9147,Management,daytime,Secondary education,116.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Secondary Education - 12th Year of Schooling or Equivalent,"Personal Services, Security and Safety Workers and Sellers",Intermediate Level Technicians and Professions,124.8,yes,no,no,yes,no,no,0,5,9,2,14.33333333,0,0,5,10,2,12.5,0,7.6,2.6,0.32,Enrolled
single,Over 23 years old,1,male,24.0,171,Animation and Multimedia Design,daytime,Secondary education,145.0,Portuguese,Higher Education - Bachelor's Degree,Secondary Education - 12th Year of Schooling or Equivalent,Specialists in Intellectual and Scientific Activities,Armed Forces Professions,114.5,yes,no,no,yes,no,no,0,0,0,0,0.0,0,0,0,0,0,0.0,0,9.4,-0.8,-3.12,Graduate
single,Holders of other higher courses,1,female,52.0,9147,Management,daytime,Higher education - degree,110.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,110.0,no,no,no,yes,no,no,11,15,26,14,10.46666667,0,9,12,16,12,10.92307692,0,13.9,-0.3,0.79,Graduate
single,2nd phase - general contingent,1,female,20.0,9003,Agronomy,daytime,Secondary education,119.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Administrative staff,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",113.2,no,no,yes,yes,no,no,0,6,8,6,13.33333333,0,0,6,8,5,14.0,0,11.1,0.6,2.02,Enrolled
single,2nd phase - general contingent,2,female,18.0,9500,Nursing,daytime,Secondary education,129.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Skilled Workers in Industry, Construction and Craftsmen",124.0,yes,no,no,yes,yes,no,0,8,8,7,14.31285714,0,0,8,8,7,14.31285714,0,10.8,1.4,1.74,Graduate
single,2nd phase - general contingent,2,female,18.0,9773,Journalism and Communication,daytime,Secondary education,132.0,Portuguese,Basic Education (9th/10th/11th Year) or Equivalent,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",120.1,yes,no,no,yes,yes,no,0,6,6,6,13.66666667,0,0,6,6,6,14.0,0,8.9,1.4,3.51,Graduate
single,2nd phase - general contingent,1,male,20.0,9119,Informatics Engineering,daytime,Secondary education,125.0,Portuguese,Basic Education (9th/10th/11th Year) or Equivalent,Secondary Education - 12th Year of Schooling or Equivalent,"Personal Services, Security and Safety Workers and Sellers",Administrative staff,121.5,yes,no,no,yes,no,no,0,5,7,5,15.8,0,0,5,7,5,14.57142857,0,11.1,0.6,2.02,Dropout
single,1st phase - general contingent,1,female,18.0,9670,Advertising and Marketing Management,daytime,Secondary education,123.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,113.9,yes,no,yes,no,no,no,0,6,7,4,11.25,0,0,6,9,4,10.85714286,0,10.8,1.4,1.74,Dropout
single,1st phase - general contingent,1,male,20.0,9070,Communication Design,daytime,Secondary education,147.0,Portuguese,Higher Education - Bachelor's Degree,Secondary Education - 12th Year of Schooling or Equivalent,Specialists in Intellectual and Scientific Activities,Intermediate Level Technicians and Professions,149.8,yes,no,no,yes,no,no,5,12,12,11,14.27272727,0,5,12,12,11,14.81818182,0,16.2,0.3,-0.92,Graduate
single,Technological specialization diploma holders,1,female,20.0,9130,Equinculture,daytime,Technological specialization course,120.0,Portuguese,Higher Education - Bachelor's Degree,Secondary Education - 12th Year of Schooling or Equivalent,Specialists in Intellectual and Scientific Activities,Administrative staff,120.0,yes,no,no,yes,no,no,0,6,6,0,0.0,0,0,6,6,0,0.0,0,12.4,0.5,1.79,Dropout
single,1st phase - general contingent,1,female,20.0,9130,Equinculture,daytime,Secondary education,106.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,108.0,yes,no,yes,yes,no,no,0,5,10,2,12.0,2,0,5,9,4,11.0,0,9.4,-0.8,-3.12,Dropout
single,Other,1,female,22.0,9085,Veterinary Nursing,daytime,Secondary education,134.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",134.0,yes,no,no,yes,no,no,2,5,7,5,14.2,0,0,5,10,5,12.2,0,12.7,3.7,-1.7,Graduate
married,1st phase - general contingent,1,female,28.0,9991,Management (evening attendance),evening,Secondary education,144.0,Portuguese,Basic Education (9th/10th/11th Year) or Equivalent,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,151.4,no,no,no,yes,no,no,0,5,5,5,12.0,0,0,5,6,5,11.6,0,7.6,2.6,0.32,Graduate
married,Technological specialization diploma holders,1,female,21.0,9991,Management (evening attendance),evening,Technological specialization course,130.0,Portuguese,Secondary Education (12th Year of Schooling or Equivalent),Basic education 1st cycle (4th/5th year) or equiv.,Administrative staff,Unskilled Workers,130.0,no,no,no,no,no,no,0,5,12,3,11.33333333,0,0,5,10,1,13.0,0,15.5,2.8,-4.06,Dropout
married,Over 23 years old,1,male,41.0,9991,Management (evening attendance),evening,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",111.9,yes,no,no,yes,no,no,0,5,5,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Dropout
married,Over 23 years old,1,male,36.0,171,Animation and Multimedia Design,daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv.,100.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,139.0,no,no,no,yes,no,no,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Dropout
single,2nd phase - general contingent,4,female,20.0,9254,Tourism,daytime,Secondary education,124.0,Portuguese,Higher Education - Bachelor's Degree,Higher Education - Bachelor's Degree,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,126.1,yes,no,no,yes,no,no,0,5,5,5,11.4,0,0,6,11,1,11.0,0,10.8,1.4,1.74,Dropout
